SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
96,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Rhynchotus_rufescens,Red-winged Tinamou,40,0,0,0,10,0,0,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Other,0,843.47,Dunning08,1,NA,NA
98,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_taczanowskii,Taczanowski's Tinamou,40,0,0,0,0,0,10,0,20,30,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,475.31,GenAvg,0,NA,NA
100,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_ornata,Ornate Tinamou,20,0,0,0,0,0,10,0,20,50,PlantSeed,Ref_1,A,Jennifer,0,0,60,40,0,0,0,0,Ref_1,1,Jessica,0,619.27,Dunning08,1,NA,NA
101,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_pentlandii,Andean Tinamou,20,0,0,0,0,0,10,0,20,50,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,300.73,Dunning08,1,NA,NA
102,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_cinerascens,Brushland Tinamou,60,0,0,0,0,0,20,0,20,0,Invertebrate,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,523.89,Dunning08,1,NA,NA
103,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_perdicaria,Chilean Tinamou,40,0,0,0,0,0,10,0,20,30,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,458,Dunning08,1,NA,NA
104,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothoprocta_curvirostris,Curve-billed Tinamou,40,0,0,0,0,0,10,0,20,30,Omnivore,Ref_1,D1,Jennifer,0,0,80,20,0,0,0,0,Genus,0,Walter,0,376,Dunning08,1,NA,NA
105,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_darwinii,Darwin's Nothura,50,0,0,0,0,0,0,0,40,10,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,244.58,Dunning08,1,NA,NA
106,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_chacoensis,Chaco Nothura,40,0,0,0,0,0,20,0,40,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,226.08,GenAvg,0,NA,NA
107,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_maculosa,Spotted Nothura,40,0,0,0,0,0,30,0,30,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,257.48,Dunning08,1,NA,NA
108,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_minor,Lesser Nothura,40,0,0,0,0,0,20,0,40,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,165.8,Dunning08,1,NA,NA
109,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothura_boraquira,White-bellied Nothura,40,0,0,0,0,0,20,0,40,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,283,Dunning08,1,NA,NA
110,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Taoniscus_nanus,Dwarf Tinamou,50,0,0,0,0,0,0,0,50,0,Omnivore,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,43,Dunning08,1,NA,NA
111,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Eudromia_elegans,Elegant Crested-tinamou,30,0,0,0,0,0,0,0,40,30,PlantSeed,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Other,0,702.9,Dunning08,1,NA,NA
