ID,longitude,latitude,timestamp
191545.1,-121.9433212,38.13363647,5/21/2019 7:58
191545.1,-121.9435349,38.13378906,5/21/2019 8:28
191545.1,-121.9437408,38.13354111,5/21/2019 8:58
191545.1,-121.9442978,38.13362503,5/21/2019 9:28
191545.1,-121.9442062,38.13364029,5/21/2019 9:58
191545.1,-121.9442062,38.13369751,5/21/2019 10:28
191545.1,-121.9442902,38.13368607,5/21/2019 10:58
191545.1,-121.944046,38.13376617,5/21/2019 11:28
191545.1,-121.9439011,38.13363266,5/21/2019 11:58
191545.1,-121.9439697,38.1340332,5/21/2019 12:28
191545.1,-121.9437943,38.13407135,5/21/2019 12:58
191545.1,-121.9418564,38.13473892,5/21/2019 13:28
191545.1,-121.9412613,38.13473129,5/21/2019 13:58
191545.1,-121.941925,38.13476563,5/21/2019 14:28
191545.1,-121.9434509,38.13352966,5/21/2019 14:58
191545.1,-121.9435654,38.13358688,5/21/2019 15:28
191545.1,-121.9435654,38.13382721,5/21/2019 15:58
191545.1,-121.9438019,38.13393784,5/21/2019 16:28
191545.1,-121.9434052,38.13395309,5/21/2019 16:58
191545.1,-121.9429932,38.13377762,5/21/2019 17:28
191545.1,-121.9428329,38.13411331,5/21/2019 17:58
191545.1,-121.9430542,38.13373566,5/21/2019 18:28
191545.1,-121.9428711,38.13348389,5/21/2019 18:58
191545.1,-121.9428787,38.13353348,5/21/2019 19:28
191545.1,-121.9430695,38.13354111,5/21/2019 19:58
191545.1,-121.9431381,38.13358688,5/21/2019 20:28
191545.1,-121.9420471,38.1339798,5/21/2019 20:58
191545.1,-121.9404221,38.13238907,5/21/2019 21:28
191545.1,-121.9405823,38.13235474,5/21/2019 21:59
191545.1,-121.9429779,38.13372421,5/21/2019 22:28
191545.1,-121.9429779,38.13333893,5/21/2019 22:58
191545.1,-121.9431,38.13358688,5/21/2019 23:28
191545.1,-121.9430695,38.1335144,5/21/2019 23:58
191545.1,-121.942955,38.13354874,5/22/2019 0:28
191545.1,-121.9414825,38.13359451,5/22/2019 0:58
191545.1,-121.9414673,38.13361359,5/22/2019 1:28
191545.1,-121.9431305,38.13383102,5/22/2019 1:58
191545.1,-121.9422531,38.13400269,5/22/2019 2:29
191545.1,-121.9422836,38.13402176,5/22/2019 2:58
191545.1,-121.9449234,38.13391495,5/22/2019 3:28
191545.1,-121.9460907,38.13362885,5/22/2019 3:58
191545.1,-121.9461441,38.13360214,5/22/2019 4:28
191545.1,-121.9460297,38.133564,5/22/2019 4:59
191545.1,-121.9461136,38.13352203,5/22/2019 5:28
191545.1,-121.9461517,38.13349152,5/22/2019 5:58
191545.1,-121.9460907,38.13355255,5/22/2019 6:28
191545.1,-121.9460144,38.13359833,5/22/2019 6:58
191545.1,-121.9438171,38.13363647,5/22/2019 7:28
191545.1,-121.9437561,38.13357544,5/22/2019 7:58
191545.1,-121.9437637,38.13357162,5/22/2019 8:28
191545.1,-121.9437714,38.13355637,5/22/2019 8:59
191545.1,-121.9437943,38.13349152,5/22/2019 9:28
191545.1,-121.9437408,38.13349533,5/22/2019 9:58
191545.1,-121.9438019,38.13354111,5/22/2019 10:28
191545.1,-121.9438095,38.13356781,5/22/2019 10:58
191545.1,-121.9437561,38.1336174,5/22/2019 11:28
191545.1,-121.9440613,38.13359833,5/22/2019 11:58
191545.1,-121.9442291,38.13380814,5/22/2019 12:28
191545.1,-121.945343,38.13419342,5/22/2019 12:58
191545.1,-121.9456253,38.13476563,5/22/2019 13:28
191545.1,-121.9456406,38.13463974,5/22/2019 13:59
191545.1,-121.9455795,38.13465118,5/22/2019 14:28
191545.1,-121.9452896,38.13476181,5/22/2019 14:58
191545.1,-121.9455338,38.13461304,5/22/2019 15:28
191545.1,-121.9455795,38.13470459,5/22/2019 15:58
191545.1,-121.9455948,38.13469696,5/22/2019 16:28
191545.1,-121.9456482,38.13454819,5/22/2019 16:58
191545.1,-121.9462662,38.13508987,5/22/2019 17:28
191545.1,-121.9455872,38.13518524,5/22/2019 17:58
191545.1,-121.9455185,38.13522339,5/22/2019 18:28
191545.1,-121.9455719,38.13529587,5/22/2019 18:59
191545.1,-121.9455795,38.13531494,5/22/2019 19:28
191545.1,-121.9455566,38.13531113,5/22/2019 19:58
191545.1,-121.9455872,38.13528442,5/22/2019 20:28
191545.1,-121.9455795,38.13528061,5/22/2019 20:59
191545.1,-121.9455719,38.13524628,5/22/2019 21:28
191545.1,-121.9456635,38.13523865,5/22/2019 21:58
191545.1,-121.94561,38.13521957,5/22/2019 22:28
191545.1,-121.9455414,38.13519287,5/22/2019 22:59
191545.1,-121.9455185,38.1352272,5/22/2019 23:28
191545.1,-121.9456329,38.13516998,5/22/2019 23:58
191545.1,-121.9455948,38.13525391,5/23/2019 0:28
191545.1,-121.9455566,38.1352272,5/23/2019 0:58
191545.1,-121.9457245,38.13507843,5/23/2019 1:28
191545.1,-121.9454117,38.13502502,5/23/2019 1:59
191545.1,-121.9455795,38.13519669,5/23/2019 2:28
191545.1,-121.9455948,38.13526154,5/23/2019 2:59
191545.1,-121.9455338,38.13540649,5/23/2019 3:28
191545.1,-121.9409027,38.13749695,5/23/2019 3:58
191545.1,-121.9408493,38.13739014,5/23/2019 4:28
191545.1,-121.9408264,38.13738632,5/23/2019 4:58
191545.1,-121.9407883,38.13741302,5/23/2019 5:28
191545.1,-121.9408112,38.13739777,5/23/2019 5:58
191545.1,-121.940773,38.13737869,5/23/2019 6:28
191545.1,-121.9408035,38.13739014,5/23/2019 6:58
191545.1,-121.9408035,38.13737869,5/23/2019 7:29
191545.1,-121.9408188,38.13738632,5/23/2019 7:58
191545.1,-121.9407959,38.13732147,5/23/2019 8:28
191545.1,-121.9407806,38.13741684,5/23/2019 8:58
191545.1,-121.9407806,38.13740158,5/23/2019 9:28
191545.1,-121.9407196,38.13738632,5/23/2019 9:58
191545.1,-121.9407883,38.13737488,5/23/2019 10:28
191545.1,-121.9408569,38.13744354,5/23/2019 10:58
191545.1,-121.9407043,38.13732529,5/23/2019 11:28
191545.1,-121.9404678,38.13700104,5/23/2019 11:58
191545.1,-121.9407654,38.13732147,5/23/2019 12:28
191545.1,-121.9456863,38.13571167,5/23/2019 12:58
191545.1,-121.9457474,38.13568497,5/23/2019 13:28
191545.1,-121.9458237,38.13578796,5/23/2019 13:58
191545.1,-121.9458237,38.13570023,5/23/2019 14:28
191545.1,-121.9457855,38.13573456,5/23/2019 14:58
191545.1,-121.9454956,38.13540649,5/23/2019 15:28
191545.1,-121.9457626,38.13525391,5/23/2019 15:59
191545.1,-121.9457779,38.13526535,5/23/2019 16:28
191545.1,-121.9455795,38.13527298,5/23/2019 16:58
191545.1,-121.9455032,38.13526535,5/23/2019 17:28
191545.1,-121.9454803,38.13536453,5/23/2019 17:58
191545.1,-121.9457779,38.13525009,5/23/2019 18:28
191545.1,-121.9457703,38.13523102,5/23/2019 18:58
191545.1,-121.9452591,38.13539124,5/23/2019 19:28
191545.1,-121.9454498,38.13555908,5/23/2019 19:58
191545.1,-121.9452591,38.13537598,5/23/2019 20:28
191545.1,-121.9453278,38.13541412,5/23/2019 20:58
191545.1,-121.9452591,38.13541412,5/23/2019 21:28
191545.1,-121.9452896,38.13534164,5/23/2019 21:59
191545.1,-121.9452057,38.13534164,5/23/2019 22:29
191545.1,-121.9453659,38.13544464,5/23/2019 22:58
191545.1,-121.9457245,38.13528824,5/23/2019 23:28
191545.1,-121.9455032,38.1351738,5/23/2019 23:58
191545.1,-121.9457626,38.13523483,5/24/2019 0:28
191545.1,-121.9458084,38.13526154,5/24/2019 0:58
191545.1,-121.9458008,38.13527298,5/24/2019 1:29
191545.1,-121.9458847,38.13537979,5/24/2019 1:58
191545.1,-121.9457474,38.13525772,5/24/2019 2:29
191545.1,-121.9452972,38.1354332,5/24/2019 2:58
191545.1,-121.9452362,38.13545609,5/24/2019 3:29
191545.1,-121.9439468,38.13692093,5/24/2019 3:58
191545.1,-121.943222,38.13707352,5/24/2019 4:29
191545.1,-121.943222,38.1370697,5/24/2019 4:58
191545.1,-121.9432449,38.13708496,5/24/2019 5:28
191545.1,-121.9431763,38.13702393,5/24/2019 5:58
191545.1,-121.9432068,38.1370697,5/24/2019 6:29
191545.1,-121.9432449,38.13703918,5/24/2019 6:58
191545.1,-121.9429779,38.13721848,5/24/2019 7:28
191545.1,-121.9429092,38.13725662,5/24/2019 7:59
191545.1,-121.9429092,38.13720703,5/24/2019 8:28
191545.1,-121.9429321,38.13724899,5/24/2019 8:58
191545.1,-121.9429169,38.13724518,5/24/2019 9:29
191545.1,-121.9428864,38.13720703,5/24/2019 9:58
191545.1,-121.942955,38.1373024,5/24/2019 10:28
191545.1,-121.9429398,38.13726044,5/24/2019 10:58
191545.1,-121.9429245,38.13728333,5/24/2019 11:28
191545.1,-121.9429321,38.13726044,5/24/2019 11:58
191545.1,-121.9452972,38.13538742,5/24/2019 12:28
191545.1,-121.9451981,38.13539505,5/24/2019 12:58
191545.1,-121.9451599,38.13545609,5/24/2019 13:28
191545.1,-121.9453735,38.13547516,5/24/2019 13:58
191545.1,-121.9458389,38.13523483,5/24/2019 14:28
191545.1,-121.9459457,38.13525391,5/24/2019 14:58
191545.1,-121.9457855,38.13527298,5/24/2019 15:28
191545.1,-121.9456406,38.13527679,5/24/2019 15:58
191545.1,-121.9454117,38.13554764,5/24/2019 16:29
191545.1,-121.9452286,38.13536072,5/24/2019 16:58
191545.1,-121.9452744,38.13537979,5/24/2019 17:29
191545.1,-121.9453354,38.13540649,5/24/2019 17:59
191545.1,-121.9454041,38.13542175,5/24/2019 18:28
191545.1,-121.9457474,38.13511276,5/24/2019 18:58
191545.1,-121.9457321,38.1353569,5/24/2019 19:28
191545.1,-121.945549,38.13549042,5/24/2019 19:58
191545.1,-121.9450912,38.13518906,5/24/2019 20:28
191545.1,-121.9444351,38.13506699,5/24/2019 20:58
191545.1,-121.9444427,38.13502884,5/24/2019 21:28
191545.1,-121.9443436,38.13508987,5/24/2019 21:58
191545.1,-121.9457932,38.13534546,5/24/2019 22:28
191545.1,-121.9458389,38.13531113,5/24/2019 22:58
191545.1,-121.9452362,38.13541031,5/24/2019 23:28
191545.1,-121.9452209,38.13544083,5/24/2019 23:58
191545.1,-121.9457397,38.13525009,5/25/2019 0:28
191545.1,-121.9457703,38.13564682,5/25/2019 0:58
191545.1,-121.9456787,38.13564682,5/25/2019 1:29
191545.1,-121.945488,38.13575363,5/25/2019 1:58
191545.1,-121.9455338,38.13460159,5/25/2019 2:28
191545.1,-121.9444733,38.13510132,5/25/2019 2:59
191545.1,-121.9445038,38.13513184,5/25/2019 3:28
191545.1,-121.9352341,38.13699341,5/25/2019 3:58
191545.1,-121.9353027,38.13698196,5/25/2019 4:28
191545.1,-121.9352341,38.13698578,5/25/2019 4:58
191545.1,-121.9352493,38.13697433,5/25/2019 5:28
191545.1,-121.9353485,38.13702011,5/25/2019 5:58
191545.1,-121.9352493,38.13692093,5/25/2019 6:28
191545.1,-121.9352722,38.13698578,5/25/2019 6:58
191545.1,-121.9352722,38.13693237,5/25/2019 7:28
191545.1,-121.9352798,38.13698196,5/25/2019 7:58
191545.1,-121.9352798,38.13697815,5/25/2019 8:28
